ASIN	Status
B0001DRHDY	Good	
B0001DRHE8	Good	
B0001DRHEI	Good	
B0001DRHES	Good	
B0001DRHFC	Good	
B0001DRHFM	Good	
B0001DRHFW	Good	
B0001DRHG6	Good	
B0001DRHGG	Good	
B0001DRHHA	Good	
B0001DRHHK	Good	
B0001DRHI4	Good	
B0001DRHIE	Good	
B0001DRHIO	Good	
B0001DRHIY	Good	
B003XSMY7I	Good	
B003XX0K2Y	Good	
B004U6OG78	Good	
B004XC6J0Q	Good	
B004XC6J4W	Good	
B004XC6J9W	Good	
B004XC6JFG	Good	
B004XC7626	Good	
B004XC764Y	Good	
B004XC7680	Good	
B004XC769Y	Good	
B004XC76BC	Good	
B004XC76F8	Good	
B004XC7K6S	Good	
B0050PY498	Good	
B0050PY5TM	Good	
B0050PY6CS	Good	
B0050PY6J6	Good	
B0050PY786	Good	
B0050PY7ZE	Good	
B0050PY9IY	Good	
B0050PYBHS	Good	
B0050PYCO0	Good	
B0050PYETI	Good	
B0050PYF9W	Good	
B0050PYFUQ	Good	
B009G1U9TQ	Good	
B009G1U9UK	Good	
B009G1UBBM	Good	
B009G1UBGW	Good	
B009G1UBRQ	Good	
B009G1UC0M	Good	
B009G1UC2A	Good	
B009G1UC8E	Good	
B009G1UC8Y	Good	
B009G1UCGG	Good	
B009G1UCLG	Good	
B009G1UCMK	Good	
B009G1UCX4	Good	
B009G1UD38	Good	
B009G1UDBU	Good	
B009G1UDLU	Good	
B009G1UDWE	Good	
B009G1UE4G	Good	
B009G1UEAK	Good	
B009G1UF5O	Good	
B009G1UFDQ	Good	
B009G1UFN6	Good	
B009G1UGA8	Good	
B009G1UGH6	Good	
B009G1UGQ2	Good	
B009G1UGYO	Good	
B009G1UH8O	Good	
B009G1UHAW	Good	
B009G1UI1U	Good	
B009G1UIH4	Velcro found!	
B009G1UIJM	Good	
B009G1UIP6	Velcro found!	
B009G1UIVU	Good	
B009G1UIYC	Velcro found!	
B009G1UJ5A	Good	
B009G1UJB4	Velcro found!	
B009G1UJH8	Good	
B009G1UJL4	Velcro found!	
B009G1UJSW	Good	
B009G1UJV4	Velcro found!	
B009G1UK3G	Good	
B009G1UK6I	Velcro found!	
B009G1UKR2	Velcro found!	
B009G1UL4Y	Good	
B009G1UL9O	Velcro found!	
B009G1ULGM	Good	
B009G1ULJO	Velcro found!	
B009G1ULNU	Good	
B009G1ULXU	Good	
B009G1ULYO	Velcro found!	
B009G1UMA2	Velcro found!	
B009G1UMOI	Velcro found!	
B009G1UMWA	Velcro found!	
B009G1UMYS	Good	
B009G1UN3I	Velcro found!	
B009G1UNEW	Velcro found!	
B009G1UNPG	Velcro found!	
B009G1UNYW	Velcro found!	
B009G1UOE6	Good	
B009G1UOQ4	Good	
B009G1UQHG	Good	
B009G1UQOY	Good	
B009G1UR20	Good	
B009G1URMK	Good	
B009G1USA6	Good	
B009G1USOC	Good	
B009G1USUQ	Good	
B009G1UT7I	Good	
B009G1UT82	Good	
